Food,Meal_Type,Diet_Type,Calories,Protein_g,Carbs_g,Fat_g
Salmon,Lunch,Non-Veg,170,27.93,62.4,6.55
Eggs,Snack,Non-Veg,52,8.28,28.1,17.48
Oats,Lunch,Veg,537,31.93,7.06,12.03
Quinoa,Dinner,Veg,331,10.54,61.1,2.8
Orange,Snack,Veg,369,38.6,77.91,16.23
Quinoa,Breakfast,Veg,424,12.14,54.28,10.35
Sweet Potato,Breakfast,Veg,536,8.03,5.29,8.7
Carrot,Snack,Veg,98,28.01,62.91,25.79
Peanuts,Breakfast,Veg,547,18.71,31.87,3.5
Chickpeas,Snack,Veg,382,17.74,57.9,21.73
Brown Rice,Breakfast,Veg,552,7.07,61.65,7.6
Yogurt,Snack,Veg,590,31.81,76.37,19.42
Spinach,Snack,Veg,254,22.64,30.77,19.32
Carrot,Lunch,Veg,560,3.37,35.69,23.13
Oats,Breakfast,Veg,335,17.9,58.45,12.69
Salmon,Snack,Non-Veg,595,22.16,48.11,14.24
Eggs,Dinner,Non-Veg,463,9.04,63.7,5.3
Peanuts,Lunch,Veg,85,19.76,22.27,5.23
Carrot,Dinner,Veg,336,36.35,5.37,9.06
Apple,Lunch,Veg,102,23.2,63.95,24.76
Paneer,Dinner,Veg,223,24.02,54.98,3.0
Oats,Lunch,Veg,258,4.97,31.39,22.17
Banana,Dinner,Veg,314,3.53,78.09,1.21
Carrot,Snack,Veg,591,28.75,6.2,11.86
Tofu,Snack,Veg,148,7.28,60.57,11.32
Apple,Breakfast,Veg,588,28.15,15.06,7.12
Tofu,Breakfast,Veg,563,27.16,21.31,3.35
Salmon,Snack,Non-Veg,242,29.58,43.65,16.34
Lentils,Lunch,Veg,524,21.82,47.61,17.53
Almonds,Breakfast,Veg,446,22.59,5.91,7.01
Sweet Potato,Breakfast,Veg,318,30.99,67.09,19.68
Yogurt,Breakfast,Veg,148,26.55,56.1,13.74
Eggs,Dinner,Non-Veg,548,35.26,26.72,6.02
Almonds,Lunch,Veg,579,33.8,11.25,18.05
Eggs,Snack,Non-Veg,391,20.37,56.02,1.65
Chickpeas,Snack,Veg,305,34.18,14.51,23.93
Paneer,Dinner,Veg,300,7.25,10.21,7.31
Carrot,Breakfast,Veg,405,13.21,65.12,21.21
Spinach,Snack,Veg,518,22.15,50.75,17.81
Chicken Breast,Lunch,Non-Veg,531,31.04,5.82,8.6
Salmon,Snack,Non-Veg,531,39.08,52.19,5.33
Salmon,Lunch,Non-Veg,520,28.59,54.4,26.02
Chickpeas,Lunch,Veg,476,27.03,65.97,22.88
Salmon,Lunch,Non-Veg,503,4.57,11.51,19.82
Avocado,Lunch,Veg,514,34.11,16.87,17.44
Quinoa,Lunch,Veg,294,15.75,60.83,4.21
Brown Rice,Breakfast,Veg,566,29.6,78.78,22.39
Chickpeas,Dinner,Veg,219,34.1,77.73,8.73
Tofu,Dinner,Veg,439,33.46,30.04,3.67
Avocado,Lunch,Veg,301,6.88,42.81,10.89
Salmon,Lunch,Non-Veg,494,38.51,27.85,16.27
Chickpeas,Lunch,Veg,397,12.94,77.29,3.78
Quinoa,Breakfast,Veg,143,35.28,7.89,27.47
Tofu,Snack,Veg,289,8.9,50.1,24.45
Quinoa,Lunch,Veg,560,23.69,13.5,18.9
Chicken Breast,Snack,Non-Veg,298,29.52,56.32,13.54
Avocado,Lunch,Veg,129,18.33,70.79,14.92
Paneer,Lunch,Veg,109,2.22,64.16,8.15
Sweet Potato,Lunch,Veg,575,4.33,39.57,9.86
Carrot,Breakfast,Veg,263,35.87,67.64,24.04
Milk,Breakfast,Veg,75,19.43,6.68,15.6
Banana,Breakfast,Veg,400,38.11,53.78,11.5
Peanuts,Snack,Veg,154,8.55,43.64,11.91
Apple,Dinner,Veg,232,21.86,64.5,1.23
Peanuts,Snack,Veg,281,27.71,28.59,13.75
Almonds,Lunch,Veg,441,16.48,24.91,15.23
Oats,Snack,Veg,452,2.17,28.97,26.17
Chicken Breast,Lunch,Non-Veg,552,34.42,32.21,19.55
Yogurt,Snack,Veg,480,25.83,37.7,7.06
Quinoa,Breakfast,Veg,261,7.33,15.58,25.11
Milk,Dinner,Veg,219,15.58,35.79,15.96
Yogurt,Lunch,Veg,534,5.82,73.52,11.24
Brown Rice,Breakfast,Veg,210,6.99,58.47,11.31
Sweet Potato,Snack,Veg,128,35.06,16.11,25.13
Paneer,Dinner,Veg,64,32.8,54.76,28.64
Avocado,Lunch,Veg,491,31.21,74.84,23.04
Chicken Breast,Snack,Non-Veg,474,14.56,12.37,17.36
Chickpeas,Lunch,Veg,153,39.58,12.13,21.11
Peanuts,Snack,Veg,525,7.88,64.32,29.97
Milk,Snack,Veg,284,34.38,46.24,10.2
Lentils,Breakfast,Veg,261,4.69,70.65,16.76
Chickpeas,Breakfast,Veg,65,10.47,62.84,8.05
Eggs,Snack,Non-Veg,167,33.67,61.67,9.95
Chicken Breast,Snack,Non-Veg,564,11.41,30.3,12.88
Tofu,Snack,Veg,452,33.86,75.74,26.97
Banana,Snack,Veg,153,21.3,50.29,23.23
Quinoa,Snack,Veg,52,8.0,52.59,22.44
Tofu,Lunch,Veg,294,28.86,65.12,26.97
Sweet Potato,Lunch,Veg,576,4.32,26.65,21.08
Quinoa,Dinner,Veg,206,18.06,54.24,2.94
Orange,Snack,Veg,516,18.2,42.39,13.24
Paneer,Dinner,Veg,479,23.41,46.91,7.84
Salmon,Dinner,Non-Veg,175,39.66,20.2,12.21
Banana,Lunch,Veg,144,2.25,65.95,7.63
Chicken Breast,Snack,Non-Veg,371,35.57,59.72,8.49
Oats,Snack,Veg,445,24.8,43.7,28.06
Carrot,Lunch,Veg,326,16.33,52.77,24.94
Spinach,Breakfast,Veg,510,14.83,49.02,25.75
Yogurt,Snack,Veg,572,5.73,6.67,2.41
Peanuts,Dinner,Veg,157,28.58,7.43,11.46
Quinoa,Snack,Veg,399,20.59,41.37,16.98
Milk,Snack,Veg,401,29.14,32.46,11.46
Carrot,Snack,Veg,246,33.06,53.3,16.8
Chicken Breast,Dinner,Non-Veg,151,29.59,36.09,25.65
Milk,Lunch,Veg,50,15.29,62.0,26.71
Spinach,Breakfast,Veg,546,11.39,62.93,17.97
Quinoa,Breakfast,Veg,399,5.26,74.1,28.62
Sweet Potato,Breakfast,Veg,495,31.51,19.6,19.63
Almonds,Breakfast,Veg,114,34.12,78.54,10.53
Eggs,Snack,Non-Veg,553,25.06,65.87,15.98
Tofu,Breakfast,Veg,231,21.89,28.63,1.47
Brown Rice,Snack,Veg,317,34.74,40.3,25.62
Sweet Potato,Lunch,Veg,505,17.25,30.45,20.99
Spinach,Snack,Veg,153,32.41,77.76,24.59
Apple,Lunch,Veg,530,32.84,50.6,4.43
Salmon,Lunch,Non-Veg,585,7.47,24.78,5.18
Eggs,Dinner,Non-Veg,294,10.16,33.73,26.27
Lentils,Snack,Veg,481,20.63,18.98,29.76
Apple,Breakfast,Veg,324,21.57,58.89,5.25
Quinoa,Lunch,Veg,269,17.56,50.07,16.18
Chicken Breast,Lunch,Non-Veg,162,25.6,74.82,19.68
Brown Rice,Dinner,Veg,95,21.83,43.5,13.48
Orange,Lunch,Veg,152,18.69,13.15,22.0
Sweet Potato,Dinner,Veg,70,39.27,32.91,2.48
Chicken Breast,Lunch,Non-Veg,84,7.48,26.27,17.44
Almonds,Lunch,Veg,347,37.55,23.05,11.82
Chickpeas,Breakfast,Veg,265,19.76,67.13,2.36
Milk,Breakfast,Veg,557,2.69,76.73,3.02
Salmon,Snack,Non-Veg,455,16.78,46.8,19.37
Broccoli,Snack,Veg,577,31.71,11.33,9.81
Lentils,Breakfast,Veg,149,34.28,11.02,8.31
Paneer,Lunch,Veg,586,14.66,54.8,9.48
Apple,Lunch,Veg,411,6.7,74.51,23.34
Tofu,Lunch,Veg,266,3.95,69.46,15.87
Eggs,Breakfast,Non-Veg,99,15.36,69.93,16.2
Broccoli,Breakfast,Veg,330,6.23,48.32,3.5
Oats,Breakfast,Veg,88,13.86,64.69,11.94
Sweet Potato,Dinner,Veg,356,4.67,60.84,17.96
Quinoa,Breakfast,Veg,339,19.9,32.04,22.53
Yogurt,Lunch,Veg,436,37.59,17.68,12.17
Eggs,Dinner,Non-Veg,134,15.29,22.42,18.0
Almonds,Dinner,Veg,489,23.75,29.53,26.14
Spinach,Snack,Veg,421,4.75,15.57,20.28
Banana,Snack,Veg,590,25.63,57.71,23.73
Oats,Snack,Veg,547,31.27,79.48,26.35
Quinoa,Snack,Veg,68,16.21,36.7,2.55
Brown Rice,Dinner,Veg,526,33.56,55.73,14.43
Spinach,Lunch,Veg,434,15.29,77.5,22.33
Carrot,Dinner,Veg,457,3.56,8.07,19.14
Milk,Dinner,Veg,69,26.75,51.72,2.99
Sweet Potato,Snack,Veg,288,36.08,71.61,17.46
Peanuts,Lunch,Veg,82,23.09,71.92,1.04
Chickpeas,Breakfast,Veg,527,3.28,78.3,16.2
Broccoli,Dinner,Veg,586,25.61,22.12,3.58
Broccoli,Breakfast,Veg,569,7.0,53.8,8.09
Carrot,Snack,Veg,446,24.99,51.55,6.68
Spinach,Breakfast,Veg,566,27.64,47.9,15.44
Peanuts,Dinner,Veg,167,23.24,23.72,9.53
Eggs,Breakfast,Non-Veg,537,33.03,40.64,21.62
Carrot,Lunch,Veg,372,38.29,5.98,9.36
Peanuts,Breakfast,Veg,418,17.69,26.83,5.48
Milk,Breakfast,Veg,95,1.21,8.03,13.23
Yogurt,Breakfast,Veg,293,3.08,62.46,15.22
Chickpeas,Dinner,Veg,91,28.9,40.29,24.61
Chicken Breast,Dinner,Non-Veg,531,15.31,29.73,12.49
Almonds,Snack,Veg,418,3.58,68.46,12.37
Chicken Breast,Breakfast,Non-Veg,461,37.47,12.58,9.15
Eggs,Breakfast,Non-Veg,119,20.36,50.63,1.79
Carrot,Breakfast,Veg,333,26.61,73.27,21.12
Chicken Breast,Dinner,Non-Veg,561,7.09,62.08,19.87
Apple,Dinner,Veg,574,23.22,51.61,29.09
Peanuts,Breakfast,Veg,236,13.89,43.17,29.22
Oats,Breakfast,Veg,158,3.72,18.67,26.31
Yogurt,Breakfast,Veg,446,36.24,76.03,22.24
Avocado,Snack,Veg,573,13.45,67.88,21.62
Paneer,Lunch,Veg,598,21.22,44.88,18.31
Orange,Snack,Veg,347,13.88,23.63,28.93
Almonds,Breakfast,Veg,350,29.83,7.59,5.27
Carrot,Dinner,Veg,325,16.05,28.25,10.49
Sweet Potato,Snack,Veg,351,31.41,78.26,8.23
Chicken Breast,Lunch,Non-Veg,566,10.15,52.94,25.78
Banana,Breakfast,Veg,576,17.76,40.67,21.99
Sweet Potato,Breakfast,Veg,589,12.68,62.19,9.68
Chickpeas,Dinner,Veg,86,21.01,47.99,1.51
Peanuts,Dinner,Veg,521,13.34,49.45,24.92
Milk,Dinner,Veg,363,2.75,14.85,21.19
Orange,Lunch,Veg,455,20.97,79.09,7.06
Broccoli,Lunch,Veg,89,33.47,23.16,14.37
Peanuts,Snack,Veg,566,16.73,65.61,28.56
Orange,Breakfast,Veg,346,16.94,66.89,12.94
Paneer,Snack,Veg,231,5.26,42.12,11.27
Tofu,Dinner,Veg,100,12.07,24.62,26.78
Yogurt,Lunch,Veg,588,11.45,43.03,22.07
Apple,Lunch,Veg,302,3.71,39.77,19.67
Carrot,Dinner,Veg,239,25.45,52.85,5.57
Orange,Dinner,Veg,552,7.45,60.56,8.21
Chicken Breast,Snack,Non-Veg,550,10.12,7.45,6.44
Yogurt,Dinner,Veg,502,4.25,66.28,13.83
Paneer,Snack,Veg,96,38.71,58.21,22.31
Apple,Lunch,Veg,535,20.73,45.5,11.67
Carrot,Breakfast,Veg,222,27.9,64.31,21.13
Lentils,Snack,Veg,153,8.6,24.26,26.78
Oats,Dinner,Veg,589,21.87,18.61,29.99
Lentils,Dinner,Veg,165,1.77,76.3,17.86
Quinoa,Breakfast,Veg,231,25.45,59.73,5.56
Milk,Breakfast,Veg,269,18.69,47.61,13.05
Yogurt,Lunch,Veg,342,6.79,74.52,18.63
Almonds,Breakfast,Veg,525,33.57,46.41,1.55
Lentils,Breakfast,Veg,317,23.12,32.12,11.72
Oats,Breakfast,Veg,593,11.72,61.17,14.76
Spinach,Snack,Veg,234,11.41,72.25,9.28
Lentils,Dinner,Veg,502,1.06,32.09,6.51
Salmon,Snack,Non-Veg,256,19.73,40.0,1.04
Oats,Snack,Veg,86,36.61,57.81,10.56
Chicken Breast,Breakfast,Non-Veg,522,15.92,7.4,29.47
Peanuts,Lunch,Veg,95,10.98,76.86,7.7
Salmon,Snack,Non-Veg,252,38.84,29.94,27.96
Banana,Breakfast,Veg,389,2.23,21.58,4.48
Orange,Breakfast,Veg,556,9.86,56.16,28.53
Spinach,Breakfast,Veg,316,11.4,63.45,22.56
Paneer,Snack,Veg,364,24.1,46.78,17.16
Broccoli,Lunch,Veg,72,16.29,16.73,17.14
Almonds,Snack,Veg,224,34.45,28.26,16.73
Paneer,Dinner,Veg,481,25.27,45.6,28.08
Spinach,Dinner,Veg,271,27.84,36.54,28.25
Oats,Dinner,Veg,238,36.59,75.37,11.04
Avocado,Dinner,Veg,220,28.35,53.96,5.76
Oats,Breakfast,Veg,81,17.56,34.6,13.9
Brown Rice,Dinner,Veg,181,12.24,68.61,12.36
Milk,Snack,Veg,522,26.9,77.7,12.83
Broccoli,Dinner,Veg,296,10.41,8.02,26.58
Avocado,Dinner,Veg,186,12.13,58.08,11.07
